Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9105,0.8126911605247252,0.53125,0.09392265193370165,0.1596244131455399,0.1958976028982948
Decision Tree,0.85275,0.5844728297680408,0.22518159806295399,0.2569060773480663,0.24,0.15929126347890912
KNN,0.901,0.6810800816428189,0.33962264150943394,0.09944751381215469,0.15384615384615385,0.14326579626568747
Naive Bayes,0.84,0.783990125714147,0.2750809061488673,0.4696132596685083,0.3469387755102041,0.2750227170535935
Random Forest,0.906,0.7848405717427157,0.3870967741935484,0.06629834254143646,0.11320754716981132,0.12971755996766565
XGBoost,0.9035,0.795390278794432,0.3983050847457627,0.1298342541436464,0.19583333333333333,0.1870524438493715
